,hashtags,goldtruths,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
0,Typo3,"['Typo3', 'TYPO3']",Typo 3,Typ o3,Ty po 3,T ypo3,T y po 3,Typo3,Ty po3,Typ o 3,T ypo 3,T y po3
1,KolacheFactory,['Kolache Factory'],Kolache Factory,Kolach e Factory,Kolache Factor y,Kol ache Factory,Ko lache Factory,KolacheFactory,Kolach eFactory,K olache Factory,KolacheFactor y,Kola che Factory
2,moanmondays,['moan mondays'],moan mondays,moanmon days,moanmondays,moan mon days,mo an mondays,mo an monday s,moan monday s,moanmonday s,mo anmon days,moa n mondays
3,semantic,['semantic'],semantic,s emantic,se man tic,semanti c,seman ti c,sema ntic,seman tic,se mantic,semant ic,seman t ic
4,babypunch,['baby punch'],babypunch,ba by punch,ba bypunch,bab y punch,baby pun ch,baby pu nch,baby punch,b abypunch,b a by punch,b aby punch
5,flossylove,['flossy love'],flossy love,f lossy love,floss y love,f loss y love,fl ossylove,flossylove,floss ylove,f lossylove,f loss ylove,fl ossy love
6,justsayin,"['just sayin', 'just sayin', 'just sayin ']",just sayin,justsayin,justsay in,justsay i n,just sayi n,just say i n,just say in,justsayi n,just s ayin,just sa yin
7,Logies,"['Logies', 'logies']",Logies,Logie s,Lo gies,L og ies,Log i es,Log ies,Logi es,L ogies,Logi e s,L o g ies
8,football3s,['football 3s'],football 3s,football 3 s,foot ball 3s,foot ball 3 s,footbal l3s,football3s,football3 s,foot ball3s,footb all 3s,footb all3s
9,prosehos,"['prose hos', 'prosehos']",prosehos,prose hos,pro se hos,pros e hos,p rose hos,pros ehos,p rosehos,pro s ehos,prose h os,pr os ehos
10,blisters,['blisters'],blisters,b listers,blist ers,bl isters,blister s,b lister s,b list ers,blis ters,bli sters,bliste rs
11,homebirth,['home birth'],homebirth,home birt h,homebirt h,hom e birth,hom ebirth,home birth,h o me birth,ho me birth,h ome birth,ho mebirth
