,Unnamed: 0,Hashtag,1,2,3,4,5,6,7,8,9,10,Source,id,topk,mutlitoken,charner,answer,annotator,annotation_id,created_at,updated_at,lead_time,Final Segmentation,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
0,0,bhoomi,bhoomi,bhoom i,bhoo mi,bho omi,b hoomi,bhoo m i,bho om i,bh oomi,bho o mi,b ho omi,roman,229026,$1,Hashtag has non english token ,"[{""start"": 0, ""end"": 6, ""text"": ""bhoomi"", ""labels"": [""Named Entity""]}]","{""text"": [""bhoomi"", ""bhoomi""]}",4,1802,2021-12-30T08:14:32.339494Z,2022-01-06T13:31:39.895165Z,130.487,bhoomi,bhoomi,bhoo mi,bh oom i,b hoomi,bh oomi,bhoom i,bho omi,b ho o mi,bh oo mi,b hoo mi
1,1,dominos,dominos,domino s,do minos,domi nos,domin os,dom inos,dom in os,d ominos,do min os,d o minos,roman,228769,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""dominos"", ""labels"": [""Named Entity""]}]","{""text"": [""dominos"", ""dominos""]}",4,1495,2021-12-19T13:05:36.015797Z,2022-01-06T13:30:46.514042Z,77.056,dominos,dominos,do minos,d ominos,dom inos,dom i nos,domino s,domin os,dom in os,do min os,domi nos
2,2,psgfcgb,psgfcgb,psgfcg b,p sgfcgb,psgfc gb,ps gfcgb,psg fcgb,psgfc g b,psgf cgb,p s gfcgb,psg f c g b,roman,230191,$6,Hashtag has named entities,"[{""start"": 3, ""end"": 7, ""text"": ""fcgb"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 3, ""text"": ""psg"", ""labels"": [""Named Entity""]}]","{""text"": [""psgfcgb"", ""psgfcgb""]}",1,740,2021-10-26T10:06:59.823018Z,2022-01-06T13:30:13.206473Z,43.687,psg fcgb,psg fcgb,psgfcgb,psg fc gb,ps gf cgb,ps gfcgb,ps gfc gb,psgf cgb,psgfc gb,p s gf cgb,psg f cgb
3,3,mazdoorno1,mazdoorno1,mazdoor no1,mazdoorno 1,mazdoor no 1,m azdoorno1,ma zdoorno1,mazdoorn o1,maz doorno1,mazdoorn o 1,mazdo or no1,election,250220,$4,Hashtag has non english token ,None,"{""text"": [""mazdoorno1"", ""mazdoorno1""]}",3,2418,2022-01-05T09:24:57.092193Z,2022-01-05T09:25:03.734694Z,3438.726,mazdoor no 1,mazdoor no 1,mazdoorno1,maz door no 1,ma z door no 1,maz doorno1,mazdoor no1,mazdoorno 1,maz door no1,maz doorno 1,mazdo or no1
4,4,pappukabhibadleganahi,pappukabhibadleganahi,pappukabhibadleganah i,pappukabhibadlegana hi,pappukabhibadlega nahi,p appukabhibadleganahi,pa ppukabhibadleganahi,pappu kabhibadleganahi,pappukabhibadlegan ahi,pap pukabhibadleganahi,pappukabhibadlega na hi,election,250144,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 0, ""end"": 5, ""text"": ""pappu"", ""labels"": [""Named Entity""]}]","{""text"": [""pappu kabhi badlega nahi"", ""pappukabhibadleganahi""]}",3,2380,2022-01-05T09:08:48.447382Z,2022-01-05T09:09:03.040336Z,2478.165,pappu kabhi badlega nahi,pappu ka bhi badle ga nahi,pappu kabhi badle ga nahi,pappu ka bhi ba dle ga nahi,pappu kabhi badleganahi,pappu ka bhi bad le ga nahi,pappu ka bhi bad lega nahi,pappu ka bhi badlega nahi,pappu ka bhi ba dlega nahi,pappu kabhi ba dle ga nahi,pap pu ka bhi badle ga nahi
5,5,indiannewspapers,indian newspapers,indiannewspapers,indian news papers,in diannewspapers,indian newspaper s,indiannewspaper s,india n newspapers,i ndiannewspapers,indian news paper s,indiannews papers,election,250034,$1,None,None,"{""text"": [""indiannewspapers"", ""indiannewspapers""]}",3,1983,2021-12-30T14:02:12.741971Z,2022-01-05T09:01:22.458910Z,2017.419,indian newspapers,indian newspapers,indian news papers,indian newspaper s,indiannews papers,india n newspapers,indi an newspapers,indiannewspapers,in dian newspapers,ind ian newspapers,in diannewspapers
6,6,fakeswarabhaskar,fakeswarabhaskar,fake swara bhaskar,fakeswarabhas kar,fakeswarabhaska r,f akeswarabhaskar,fakeswarabhask ar,fake swarabhaskar,fa keswarabhaskar,fakeswara bhaskar,fakes warabhaskar,election,400035,$2,Hashtag has named entities,"[{""start"": 4, ""end"": 9, ""text"": ""swara"", ""labels"": [""Named Entity""]}, {""start"": 9, ""end"": 16, ""text"": ""bhaskar"", ""labels"": [""Named Entity""]}]",fakeswarabhaskar,1,2282,2022-01-05T05:28:08.028856Z,2022-01-05T05:28:08.028923Z,19.716,fake swara bhaskar,fake swara bhaskar,fakeswarabhaskar,fakes wara bhaskar,fakeswar abhaskar,fakes war abhaskar,fake swarabhaskar,fake swar abhaskar,fakeswara bhaskar,fakes warabhaskar,fake swa rabhaskar
7,7,vaikuntaekadasi,vaikunta ekadasi,vaikuntaekadasi,vaikuntaekadas i,vaikuntaekada si,v aikuntaekadasi,va ikuntaekadasi,vaikuntaekad asi,vaikuntaekad as i,vai kuntaekadasi,vaikuntaeka dasi,roman,230639,$1,Hashtag has non english token ,None,"{""text"": [""vaikuntaekadasi"", ""vaikuntaekadasi""]}",1,2184,2022-01-04T07:45:52.859015Z,2022-01-04T07:46:00.718471Z,508.721,vaikunta ekadasi,vaikuntaekadasi,vai kuntae kadasi,vaikunta e kadasi,vaikunta ekadasi,vaikuntaek adasi,vai kunta e kadasi,vaikuntae kadasi,vai kunta ekadasi,vai kunta eka dasi,vai kuntaekadasi
8,8,lastdayofmynrtraeors,lastdayofmynrtraeors,lastdayofmynrtraeor s,la stdayofmynrtraeors,last dayofmynrtraeors,lastdayofmynrtraeo rs,l astdayofmynrtraeors,las tdayofmynrtraeors,lastdayofmynrtrae ors,lastdayofmynrtraeo r s,lastdayofmynrtrae or s,roman,229164,None,Hashtag has named entities,"[{""start"": 9, ""end"": 16, ""text"": ""mynrtra"", ""labels"": [""Named Entity""]}]","{""text"": [""last day of mynrtra eors"", ""lastdayofmynrtraeors""]}",4,2160,2021-12-31T15:25:07.809179Z,2021-12-31T15:25:11.558673Z,2334.709,last day of mynrtra eors,last day of my nr traeors,last day of my nrtra eors,last day of my nrt raeors,last day of my n r traeors,last day of my nrtr aeors,last day of my nrtrae ors,last day of my nrtraeors,last day of my nr tra eors,last day of my nr trae ors,lastdayofmynrtraeors
9,9,rohitsharma,rohit sharma,rohitsharma,ro hit sharma,rohitsharm a,rohi t sharma,rohitshar ma,r ohitsharma,ro hitsharma,rohits harma,rohits harm a,roman,229095,$1,Hashtag has named entities,"[{""start"": 5, ""end"": 11, ""text"": ""sharma"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 5, ""text"": ""rohit"", ""labels"": [""Named Entity""]}]","{""text"": [""rohitsharma"", ""rohitsharma""]}",4,2093,2021-12-31T14:48:16.648009Z,2021-12-31T14:48:55.077528Z,158.306,rohit sharma,rohit sharma,rohi tsharma,rohitsh arma,roh itsharma,roh it sharma,rohitsharma,rohi t sharma,ro hit sharma,r ohitsharma,ro hitsharma
10,10,goodnewsmegan,goodnewsmegan,goodnewsmeg an,goodnews megan,goodnewsmega n,go odnewsmegan,good news megan,good newsmegan,g oodnewsmegan,goodnewsme gan,goodnewsm egan,roman,230662,None,Hashtag has named entities,"[{""start"": 8, ""end"": 13, ""text"": ""megan"", ""labels"": [""Named Entity""]}]","{""text"": [""good news megan"", ""goodnewsmegan""]}",1,2088,2021-12-30T17:10:33.800607Z,2021-12-30T17:10:59.714840Z,3896.182,good news megan,good news megan,good newsmegan,good newsmega n,good news me gan,good news m egan,goodnewsmegan,goodnews megan,good news mega n,goodnewsmega n,goodnews mega n
11,11,antim,antim,anti m,an tim,ant im,ant i m,a ntim,a n t i m,an t i m,an t im,a n tim,roman,230555,$1,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}",None,"{""text"": [""antim"", ""antim""]}",1,2049,2021-12-30T16:38:32.724804Z,2021-12-30T16:38:39.520898Z,1956.013,antim,antim,ant im,an tim,a nt i m,anti m,ant i m,a n tim,a nt im,an ti m,a n t im
12,12,1yearofitabestjodiashdeep,1yearofitabestjodiashdeep,1yearofitabestjodiashdee p,1yearofitabestjodiash deep,1 yearofitabestjodiashdeep,1yearofitabestjodiashde ep,1year ofitabestjodiashdeep,1yearofitabestjodiashde e p,1yearofitabestjodiashd eep,1y earofitabestjodiashdeep,1 year ofitabestjodiashdeep,roman,230524,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 7, ""end"": 10, ""text"": ""ita"", ""labels"": [""Named Entity""]}, {""start"": 18, ""end"": 25, ""text"": ""ashdeep"", ""labels"": [""Named Entity""]}, {""start"": 14, ""end"": 18, ""text"": ""jodi"", ""labels"": [""Not Named Entity""]}]","{""text"": [""1year of ita best jodi ashdeep"", ""1yearofitabestjodiashdeep""]}",1,2020,2021-12-30T16:19:01.831136Z,2021-12-30T16:19:13.647137Z,790.175,1year of ita best jodi ashdeep,1 yearofitabest jodi ashdeep,1 yearofita best jodi ashdeep,1 yearofitabestjodiashdeep,1 yearof itabest jodi ashdeep,1 year of itabestjodiashdeep,1 year ofita best jodi ashdeep,1yearofitabest jodi ashdeep,1 yearofitabest jodiashdeep,1 yearof ita best jodi ashdeep,1yearofita best jodi ashdeep
13,13,albumkaioutnow,albumkaioutnow,albumkaiout now,a lbumkaioutnow,al bumkaioutnow,albumkaioutno w,album kaioutnow,albumkaioutn ow,alb umkaioutnow,albu mkaioutnow,albumkai out now,roman,230489,None,Hashtag has named entities,"[{""start"": 5, ""end"": 8, ""text"": ""kai"", ""labels"": [""Named Entity""]}]","{""text"": [""album kai out now"", ""albumkaioutnow""]}",1,2002,2021-12-30T16:09:34.317581Z,2021-12-30T16:09:44.744346Z,221.187,album kai out now,albumkai out now,albumkaiout now,albumkaioutnow,albumka i out now,album kaioutnow,album kai outnow,albumkai outnow,album kai out now,album kaiout now,al bum kai out now
14,14,worldsareeday,worldsareeday,worldsareeda y,worldsaree day,world sareeday,w orldsareeday,wo rldsareeday,worlds areeday,worldsareed ay,wor ldsareeday,worlds are eday,roman,229399,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has a mix of english and hindi tokens""]}",None,"{""text"": [""world saree day"", ""worldsareeday""]}",3,1320,2021-12-17T16:00:40.319267Z,2021-12-17T16:01:16.906304Z,2437.33,world saree day,world sareeday,world saree day,worldsaree day,worlds areeday,worldsareeda y,worldsareeday,worldsare eday,worlds are eday,world sare eday,worldsar eeday
15,15,eksaaljharkhandbehal,eksaaljharkhandbehal,eksaaljharkhandbeh al,e ksaaljharkhandbehal,eksaaljharkhandbeha l,ek saaljharkhandbehal,eksaaljharkhandbe hal,eks aaljharkhandbehal,eksaaljharkhand behal,e k saaljharkhandbehal,eksaaljharkhandbe ha l,roman,229382,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities"", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 6, ""end"": 15, ""text"": ""jharkhand"", ""labels"": [""Named Entity""]}]","{""text"": [""ek saal jharkhand behal"", ""eksaaljharkhandbehal""]}",3,1303,2021-12-17T15:55:09.529573Z,2021-12-17T15:55:47.923685Z,2108.353,ek saal jharkhand behal,ek saal jharkhand behal,eksaal jharkhandbehal,ek saal jharkhand be hal,eksaal jharkhand be hal,ek saal jharkhandbe hal,eksaal jharkhand behal,ek saal jharkhandbehal,ek saal jhar khand behal,e k saal jharkhand behal,ek saalj harkhand behal
16,16,in1b,in 1b,in1b,in 1 b,in1 b,i n1b,i n 1b,i n 1 b,i n1 b,,,roman,228602,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 2, ""text"": ""in"", ""labels"": [""Named Entity""]}, {""start"": 2, ""end"": 4, ""text"": ""1b"", ""labels"": [""Named Entity""]}]","{""text"": [""in1b"", ""in1b""]}",4,1244,2021-12-17T12:08:45.101013Z,2021-12-17T12:09:04.117768Z,3418.161,in 1b,in1b,in 1 b,in 1b,in1 b,,,,,,
17,18,saffolafraud,saffolafraud,saffolafrau d,saffola fraud,s affolafraud,sa ffolafraud,saffolafra ud,saffolafr aud,saf folafraud,saff olafraud,saffolaf raud,roman,230408,$3,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""saffola"", ""labels"": [""Named Entity""]}]","{""text"": [""saffolafraud"", ""saffolafraud""]}",1,1092,2021-12-16T15:44:45.173755Z,2021-12-16T15:44:49.918774Z,300.494,saffola fraud,s affola fraud,s affolafraud,saffo lafraud,saffo la fraud,saffol a fraud,saffolafraud,saffola fraud,s affol a fraud,saf folafraud,s af fol a fraud
